,gene,day02,day04,day06,day08,day10,day12
1,CNTN2,YES,YES,YES,YES,YES,YES
2,TFPI,no,YES,YES,YES,no,YES
3,NOS2,no,YES,YES,YES,YES,YES
4,PAX6,no,YES,YES,YES,YES,YES
5,SEZ6,no,YES,YES,no,no,no
6,SEMA3A,no,YES,YES,YES,YES,no
7,ARHGAP15,no,YES,YES,YES,YES,no
8,CCDC80,no,YES,YES,YES,no,YES
9,GLI3,no,YES,YES,YES,YES,YES
10,LGI1,no,YES,YES,YES,YES,YES
11,WNT5B,no,YES,YES,no,no,no
12,FZD10,no,YES,YES,YES,YES,YES
13,NEDD9,no,YES,no,no,no,no
14,BMP5,no,YES,YES,YES,YES,YES
15,OTX1,no,YES,YES,YES,YES,YES
16,ID2,no,YES,YES,YES,no,no
17,OLFM3,no,YES,YES,YES,YES,YES
18,WNT1,no,YES,no,YES,no,no
19,CHI3L1,no,YES,YES,YES,YES,YES
20,PAX3,no,YES,YES,YES,YES,YES
21,PCDH8,no,YES,YES,YES,no,no
22,CDH11,no,YES,YES,no,no,no
23,TPBG,no,YES,no,no,no,no
24,POU4F1,no,YES,YES,no,no,no
25,NBL1,no,YES,no,no,no,no
26,VSNL1,no,YES,YES,YES,YES,YES
27,MSX1,no,YES,YES,YES,YES,YES
28,C8orf34,no,YES,no,no,no,no
29,IRX1,no,YES,YES,YES,no,YES
30,CNTNAP2,no,YES,no,no,no,no
31,SCUBE2,no,YES,YES,YES,YES,YES
32,FOXG1,no,YES,YES,no,no,no
33,POU3F2,no,YES,YES,YES,YES,YES
34,NR2F2,no,YES,YES,YES,no,YES
35,WNT7B,no,YES,YES,YES,YES,YES
36,SHISA6,no,YES,no,no,no,no
37,GRM3,no,YES,no,no,no,no
38,SP5,no,YES,no,no,no,no
39,EMX2OS,no,YES,YES,YES,YES,YES
40,EHBP1-AS1,no,YES,YES,YES,no,no
41,ZNF503-AS2,no,YES,no,no,no,no
42,WAKMAR2,no,YES,YES,no,no,no
43,C8orf34-AS1,no,YES,no,no,no,no
44,RMST,no,YES,YES,no,no,no
45,LOC122319436,no,YES,YES,YES,YES,YES
46,MEOX1,no,no,YES,no,YES,YES
47,TFAP2B,no,no,YES,YES,YES,YES
48,ATP1A2,no,no,YES,YES,YES,YES
49,SNAI2,no,no,YES,YES,YES,no
50,GUCY1B1,no,no,YES,YES,YES,YES
51,CDON,no,no,YES,YES,no,no
52,NAV3,no,no,YES,YES,YES,YES
53,MYO3B,no,no,YES,YES,no,no
54,WSCD2,no,no,YES,no,no,no
55,WNT8B,no,no,YES,YES,YES,YES
56,ITGA8,no,no,YES,YES,no,no
57,ADCY2,no,no,YES,YES,YES,YES
58,RBFOX1,no,no,YES,YES,YES,no
59,CD82,no,no,YES,YES,YES,YES
60,MECOM,no,no,YES,no,no,no
61,PAPLN,no,no,YES,no,no,no
62,JAG1,no,no,YES,YES,YES,YES
63,HOXA2,no,no,YES,YES,YES,no
64,SFRP4,no,no,YES,YES,YES,no
65,CDH23,no,no,YES,no,no,no
66,RASD1,no,no,YES,YES,YES,YES
67,PPARGC1A,no,no,YES,no,no,YES
68,SLC15A3,no,no,YES,no,no,no
69,TBC1D30,no,no,YES,YES,no,no
70,WNT6,no,no,YES,YES,no,YES
71,FILIP1,no,no,YES,YES,YES,YES
72,PCDH17,no,no,YES,YES,no,no
73,CLU,no,no,YES,YES,YES,YES
74,NEUROD4,no,no,YES,YES,YES,no
75,HS3ST3B1,no,no,YES,YES,no,no
76,BARHL1,no,no,YES,YES,YES,YES
77,LAMP5,no,no,YES,YES,YES,YES
78,ID1,no,no,YES,YES,YES,no
79,KIRREL2,no,no,YES,YES,no,no
80,BCO1,no,no,YES,YES,YES,YES
81,SULF1,no,no,YES,no,no,no
82,CYP1B1,no,no,YES,YES,YES,YES
83,LPAR6,no,no,YES,no,no,no
84,IRF8,no,no,YES,YES,no,no
85,BARHL2,no,no,YES,YES,no,YES
86,GDF7,no,no,YES,YES,YES,YES
87,ZNF385B,no,no,YES,YES,YES,YES
88,TRPM8,no,no,YES,no,no,no
89,BOC,no,no,YES,YES,YES,YES
90,DDIT4L,no,no,YES,no,no,no
91,GFOD1,no,no,YES,no,no,no
92,LPAR4,no,no,YES,no,no,no
93,RGS20,no,no,YES,YES,no,no
94,UNC5D,no,no,YES,YES,YES,YES
95,ZIC3,no,no,YES,YES,YES,YES
96,GRHL3,no,no,YES,YES,no,no
97,STC1,no,no,YES,no,no,no
98,TPPP3,no,no,YES,no,no,no
99,NPHS1,no,no,YES,no,no,no
100,WNT4,no,no,YES,no,no,no
101,KLHDC8A,no,no,YES,YES,no,no
102,ADORA1,no,no,YES,no,no,no
103,HEYL,no,no,YES,YES,no,no
104,SP8,no,no,YES,YES,YES,YES
105,TMEM74,no,no,YES,YES,YES,no
106,CA4,no,no,YES,YES,YES,YES
107,AFAP1L2,no,no,YES,YES,YES,YES
108,EMX2,no,no,YES,YES,YES,YES
109,GAP43,no,no,YES,YES,YES,YES
110,HPSE2,no,no,YES,YES,no,YES
111,ADAMTS20,no,no,YES,YES,YES,no
112,NDNF,no,no,YES,YES,no,no
113,NRIP3,no,no,YES,YES,YES,YES
114,NR2F1,no,no,YES,YES,YES,no
115,DMRTA1,no,no,YES,no,no,no
116,GAS1,no,no,YES,YES,YES,YES
117,MAB21L2,no,no,YES,no,no,no
118,SOX1,no,no,YES,YES,YES,YES
119,TAL2,no,no,YES,YES,no,no
120,CCK,no,no,YES,YES,YES,YES
121,GCNT1,no,no,YES,YES,YES,YES
122,CFAP77,no,no,YES,YES,no,YES
123,SP6,no,no,YES,YES,no,YES
124,ANKRD34B,no,no,YES,YES,YES,YES
125,MFAP3L,no,no,YES,YES,no,no
126,LINC02869,no,no,YES,no,no,no
127,LINC01239,no,no,YES,YES,no,no
128,LINC01414,no,no,YES,YES,YES,YES
129,AGBL1-AS1,no,no,YES,YES,YES,YES
130,AGBL1,no,no,YES,YES,YES,YES
131,LOC124903640,no,no,YES,YES,no,YES
132,TMEM176A,no,no,no,YES,no,no
133,STMN4,no,no,no,YES,YES,YES
134,ADAM28,no,no,no,YES,YES,YES
135,METTL24,no,no,no,YES,no,no
136,DMRT3,no,no,no,YES,YES,YES
137,MAOB,no,no,no,YES,no,YES
138,DRD4,no,no,no,YES,YES,YES
139,NEBL,no,no,no,YES,YES,YES
140,HSD17B2,no,no,no,YES,YES,YES
141,SLC7A8,no,no,no,YES,no,YES
142,CYP26A1,no,no,no,YES,YES,no
143,SEC14L2,no,no,no,YES,no,YES
144,CABP7,no,no,no,YES,no,YES
145,STMN2,no,no,no,YES,YES,YES
146,NEFM,no,no,no,YES,YES,YES
147,LFNG,no,no,no,YES,no,no
148,PTPRZ1,no,no,no,YES,no,YES
149,TMEM176B,no,no,no,YES,no,no
150,PRUNE2,no,no,no,YES,YES,YES
151,EBF3,no,no,no,YES,no,no
152,NR2E1,no,no,no,YES,YES,YES
153,SMOC2,no,no,no,YES,no,no
154,PDE4D,no,no,no,YES,YES,YES
155,POMC,no,no,no,YES,YES,YES
156,KCNJ13,no,no,no,YES,no,YES
157,ONECUT2,no,no,no,YES,YES,YES
158,LTBP2,no,no,no,YES,no,YES
159,MSX2,no,no,no,YES,YES,YES
160,TRIM24,no,no,no,YES,no,no
161,NRN1,no,no,no,YES,YES,YES
162,MIR9-1HG,no,no,no,YES,YES,YES
163,IRS4,no,no,no,YES,YES,YES
164,VAV3,no,no,no,YES,YES,YES
165,WNT2B,no,no,no,YES,YES,YES
166,NAV1,no,no,no,YES,no,no
167,APLNR,no,no,no,YES,YES,YES
168,CEMIP2,no,no,no,YES,YES,YES
169,SYTL2,no,no,no,YES,YES,YES
170,ADCYAP1,no,no,no,YES,YES,YES
171,LHX9,no,no,no,YES,YES,YES
172,TAGLN3,no,no,no,YES,no,no
173,ST18,no,no,no,YES,YES,no
174,ENDOD1,no,no,no,YES,YES,YES
175,KLHL35,no,no,no,YES,YES,YES
176,CDH8,no,no,no,YES,YES,YES
177,LYPD1,no,no,no,YES,YES,YES
178,ZIC1,no,no,no,YES,YES,YES
179,LGI2,no,no,no,YES,YES,YES
180,ROBO3,no,no,no,YES,no,no
181,PGM5,no,no,no,YES,no,no
182,WNT3A,no,no,no,YES,YES,YES
183,GRIA1,no,no,no,YES,YES,YES
184,NMNAT2,no,no,no,YES,YES,YES
185,GALNT14,no,no,no,YES,no,no
186,CACHD1,no,no,no,YES,YES,YES
187,ELAVL4,no,no,no,YES,no,no
188,NEUROD1,no,no,no,YES,YES,no
189,CAMKV,no,no,no,YES,no,no
190,GRM2,no,no,no,YES,no,no
191,EBF1,no,no,no,YES,YES,YES
192,CRABP1,no,no,no,YES,no,no
193,FAM107A,no,no,no,YES,YES,YES
194,INSM2,no,no,no,YES,no,no
195,TRH,no,no,no,YES,YES,YES
196,VAT1L,no,no,no,YES,YES,YES
197,NHLH1,no,no,no,YES,YES,YES
198,ID4,no,no,no,YES,no,no
199,SNCG,no,no,no,YES,YES,YES
200,INSM1,no,no,no,YES,YES,no
201,ZIC4,no,no,no,YES,YES,YES
202,SPHK1,no,no,no,YES,YES,YES
203,OLIG3,no,no,no,YES,no,no
204,LRRC3B,no,no,no,YES,no,no
205,GREM2,no,no,no,YES,YES,no
206,PCP4,no,no,no,YES,YES,YES
207,KCNQ3,no,no,no,YES,no,no
208,ALDH1A3,no,no,no,YES,YES,YES
209,SLIT3,no,no,no,YES,no,no
210,DRD1,no,no,no,YES,no,YES
211,PAQR9,no,no,no,YES,YES,YES
212,ELAVL3,no,no,no,YES,YES,no
213,VEPH1,no,no,no,YES,YES,YES
214,GALP,no,no,no,YES,no,no
215,KLHL14,no,no,no,YES,YES,YES
216,MT1F,no,no,no,YES,no,no
217,NRARP,no,no,no,YES,YES,YES
218,RD3,no,no,no,YES,no,no
219,RCSD1,no,no,no,YES,YES,no
220,ALPK2,no,no,no,YES,YES,no
221,NALF1,no,no,no,YES,YES,YES
222,ONECUT3,no,no,no,YES,YES,no
223,DOK6,no,no,no,YES,YES,YES
224,XKR4,no,no,no,YES,YES,no
225,CRIP1,no,no,no,YES,no,YES
226,SCRT2,no,no,no,YES,YES,no
227,EBF2,no,no,no,YES,YES,YES
228,ZNF593OS,no,no,no,YES,YES,YES
229,FZD10-AS1,no,no,no,YES,no,no
230,LINC01289,no,no,no,YES,YES,YES
231,MIR100HG,no,no,no,YES,YES,YES
232,NOVA1-DT,no,no,no,YES,no,no
233,LINC03025,no,no,no,YES,YES,no
234,NEFL,no,no,no,YES,YES,YES
235,THCAT155,no,no,no,YES,no,no
236,CROT,no,no,no,no,YES,no
237,ANK1,no,no,no,no,YES,YES
238,ZIC2,no,no,no,no,YES,YES
239,PRDM1,no,no,no,no,YES,YES
240,GLI2,no,no,no,no,YES,YES
241,COL5A3,no,no,no,no,YES,YES
242,SERTAD4,no,no,no,no,YES,YES
243,LHX5,no,no,no,no,YES,YES
244,SLC17A6,no,no,no,no,YES,YES
245,MXRA5,no,no,no,no,YES,YES
246,KLHL4,no,no,no,no,YES,no
247,RIPOR2,no,no,no,no,YES,YES
248,ULBP1,no,no,no,no,YES,no
249,NRP2,no,no,no,no,YES,YES
250,TEK,no,no,no,no,YES,no
251,EGR1,no,no,no,no,YES,YES
252,CNTFR,no,no,no,no,YES,YES
253,FOSB,no,no,no,no,YES,no
254,FBXL16,no,no,no,no,YES,YES
255,GNG11,no,no,no,no,YES,YES
256,KRT17,no,no,no,no,YES,YES
257,ASS1,no,no,no,no,YES,YES
258,MPP1,no,no,no,no,YES,no
259,SNAP25,no,no,no,no,YES,no
260,TBR1,no,no,no,no,YES,YES
261,TLR4,no,no,no,no,YES,YES
262,EGF,no,no,no,no,YES,YES
263,ADAMTS18,no,no,no,no,YES,YES
264,HUNK,no,no,no,no,YES,YES
265,PRDM16,no,no,no,no,YES,YES
266,GRIP2,no,no,no,no,YES,YES
267,CDH18,no,no,no,no,YES,YES
268,PLK2,no,no,no,no,YES,YES
269,ADAMTS19,no,no,no,no,YES,YES
270,INA,no,no,no,no,YES,YES
271,SST,no,no,no,no,YES,YES
272,SIM2,no,no,no,no,YES,YES
273,CELF3,no,no,no,no,YES,no
274,GNG3,no,no,no,no,YES,no
275,EOMES,no,no,no,no,YES,no
276,NUAK2,no,no,no,no,YES,YES
277,PTX3,no,no,no,no,YES,YES
278,RBM47,no,no,no,no,YES,YES
279,UNCX,no,no,no,no,YES,YES
280,PDP1,no,no,no,no,YES,YES
281,ALDH1A1,no,no,no,no,YES,YES
282,VEGFD,no,no,no,no,YES,no
283,INPP5D,no,no,no,no,YES,YES
284,PARM1,no,no,no,no,YES,YES
285,PCSK9,no,no,no,no,YES,no
286,NSG2,no,no,no,no,YES,no
287,FOS,no,no,no,no,YES,YES
288,HS6ST2,no,no,no,no,YES,YES
289,LRRC8C,no,no,no,no,YES,YES
290,FOXC2,no,no,no,no,YES,no
291,EPS8L2,no,no,no,no,YES,YES
292,ERBB4,no,no,no,no,YES,no
293,EGR3,no,no,no,no,YES,YES
294,MKRN3,no,no,no,no,YES,no
295,BACE2,no,no,no,no,YES,no
296,SPNS2,no,no,no,no,YES,YES
297,ROBO2,no,no,no,no,YES,YES
298,NPY2R,no,no,no,no,YES,YES
299,CARD11,no,no,no,no,YES,no
300,POU3F3,no,no,no,no,YES,no
301,FEZF1-AS1,no,no,no,no,YES,YES
302,MGC12916,no,no,no,no,YES,YES
303,TAC1,no,no,no,no,no,YES
304,TNFRSF12A,no,no,no,no,no,YES
305,TKTL1,no,no,no,no,no,YES
306,PLEKHG6,no,no,no,no,no,YES
307,MLXIPL,no,no,no,no,no,YES
308,NRXN3,no,no,no,no,no,YES
309,FAS,no,no,no,no,no,YES
310,TNC,no,no,no,no,no,YES
311,TNFRSF9,no,no,no,no,no,YES
312,SLC2A3,no,no,no,no,no,YES
313,COL11A1,no,no,no,no,no,YES
314,LZTS1,no,no,no,no,no,YES
315,CTNNA2,no,no,no,no,no,YES
316,CAMK2A,no,no,no,no,no,YES
317,FOSL2,no,no,no,no,no,YES
318,CXCL2,no,no,no,no,no,YES
319,TFAP2C,no,no,no,no,no,YES
320,FXYD5,no,no,no,no,no,YES
321,ICAM1,no,no,no,no,no,YES
322,SH2D3C,no,no,no,no,no,YES
323,SORBS1,no,no,no,no,no,YES
324,DSP,no,no,no,no,no,YES
325,RASL10A,no,no,no,no,no,YES
326,PROCR,no,no,no,no,no,YES
327,CDH20,no,no,no,no,no,YES
328,KLF5,no,no,no,no,no,YES
329,CA2,no,no,no,no,no,YES
330,TNNT1,no,no,no,no,no,YES
331,BBC3,no,no,no,no,no,YES
332,TFPI2,no,no,no,no,no,YES
333,SERPINE1,no,no,no,no,no,YES
334,UNC5B,no,no,no,no,no,YES
335,ACTA2,no,no,no,no,no,YES
336,NMU,no,no,no,no,no,YES
337,ELK3,no,no,no,no,no,YES
338,TRIM38,no,no,no,no,no,YES
339,SLC16A10,no,no,no,no,no,YES
340,HBEGF,no,no,no,no,no,YES
341,STC2,no,no,no,no,no,YES
342,BCL6,no,no,no,no,no,YES
343,IL1R1,no,no,no,no,no,YES
344,GADD45A,no,no,no,no,no,YES
345,SIPA1L2,no,no,no,no,no,YES
346,GBP1,no,no,no,no,no,YES
347,SLC2A1,no,no,no,no,no,YES
348,TNFAIP3,no,no,no,no,no,YES
349,DUSP4,no,no,no,no,no,YES
350,SV2C,no,no,no,no,no,YES
351,PLAU,no,no,no,no,no,YES
352,CDKN1A,no,no,no,no,no,YES
353,MT2A,no,no,no,no,no,YES
354,SIX1,no,no,no,no,no,YES
355,ZFP36,no,no,no,no,no,YES
356,KDR,no,no,no,no,no,YES
357,ADM2,no,no,no,no,no,YES
358,VGF,no,no,no,no,no,YES
359,RHBDF2,no,no,no,no,no,YES
360,CNN1,no,no,no,no,no,YES
361,GDF15,no,no,no,no,no,YES
362,LGALS3,no,no,no,no,no,YES
363,EMILIN2,no,no,no,no,no,YES
364,KANK4,no,no,no,no,no,YES
365,BHLHE40,no,no,no,no,no,YES
366,RFK,no,no,no,no,no,YES
367,ANXA1,no,no,no,no,no,YES
368,ADAM19,no,no,no,no,no,YES
369,LMO2,no,no,no,no,no,YES
370,DRAM1,no,no,no,no,no,YES
371,TUBB2A,no,no,no,no,no,YES
372,DUSP5,no,no,no,no,no,YES
373,NDST4,no,no,no,no,no,YES
374,ANXA3,no,no,no,no,no,YES
375,PHLDA1,no,no,no,no,no,YES
376,LGR5,no,no,no,no,no,YES
377,LUM,no,no,no,no,no,YES
378,TMEM132B,no,no,no,no,no,YES
379,EPHA2,no,no,no,no,no,YES
380,SYTL1,no,no,no,no,no,YES
381,FAM171B,no,no,no,no,no,YES
382,UNC80,no,no,no,no,no,YES
383,MARCHF4,no,no,no,no,no,YES
384,IL17RD,no,no,no,no,no,YES
385,SFRP2,no,no,no,no,no,YES
386,LIX1,no,no,no,no,no,YES
387,CXCL14,no,no,no,no,no,YES
388,RSPO2,no,no,no,no,no,YES
389,TAGLN,no,no,no,no,no,YES
390,HSPB8,no,no,no,no,no,YES
391,CNTNAP3B,no,no,no,no,no,YES
392,PDLIM3,no,no,no,no,no,YES
393,BTG3,no,no,no,no,no,YES
394,WNT7A,no,no,no,no,no,YES
395,TENT5B,no,no,no,no,no,YES
396,GDPD5,no,no,no,no,no,YES
397,CLIC6,no,no,no,no,no,YES
398,IL6R,no,no,no,no,no,YES
399,ADGRL4,no,no,no,no,no,YES
400,VCAM1,no,no,no,no,no,YES
401,ATF3,no,no,no,no,no,YES
402,SPATA18,no,no,no,no,no,YES
403,ELF3,no,no,no,no,no,YES
404,PCOLCE2,no,no,no,no,no,YES
405,TM4SF18,no,no,no,no,no,YES
406,CDCP1,no,no,no,no,no,YES
407,SPRY1,no,no,no,no,no,YES
408,F2RL1,no,no,no,no,no,YES
409,MAMDC2,no,no,no,no,no,YES
410,AMER2,no,no,no,no,no,YES
411,ZNF503,no,no,no,no,no,YES
412,MFSD2A,no,no,no,no,no,YES
413,STXBP6,no,no,no,no,no,YES
414,TM4SF1,no,no,no,no,no,YES
415,APLN,no,no,no,no,no,YES
416,ENC1,no,no,no,no,no,YES
417,ZMAT3,no,no,no,no,no,YES
418,MIR4435-2HG,no,no,no,no,no,YES
419,HSPA6,no,no,no,no,no,YES
420,SLC2A14,no,no,no,no,no,YES
421,TRIB1,no,no,no,no,no,YES
422,CSPG4,no,no,no,no,no,YES
423,PHLDA3,no,no,no,no,no,YES
424,NPAS4,no,no,no,no,no,YES
425,ETV4,no,no,no,no,no,YES
426,B3GNT4,no,no,no,no,no,YES
427,GCNT4,no,no,no,no,no,YES
428,NHLH2,no,no,no,no,no,YES
429,ERFE,no,no,no,no,no,YES
430,NQO1,no,no,no,no,no,YES
431,CCDC60,no,no,no,no,no,YES
432,OVCH2,no,no,no,no,no,YES
433,PDE4B,no,no,no,no,no,YES
434,NELL2,no,no,no,no,no,YES
435,MAFF,no,no,no,no,no,YES
436,AHNAK2,no,no,no,no,no,YES
437,IFITM1,no,no,no,no,no,YES
438,LEMD1,no,no,no,no,no,YES
439,SPRY4,no,no,no,no,no,YES
440,PEAR1,no,no,no,no,no,YES
441,HES4,no,no,no,no,no,YES
442,ALKAL2,no,no,no,no,no,YES
443,SLC35F1,no,no,no,no,no,YES
444,COL4A6,no,no,no,no,no,YES
445,TGM2,no,no,no,no,no,YES
446,PPM1N,no,no,no,no,no,YES
447,HBE1,no,no,no,no,no,YES
448,FOXI3,no,no,no,no,no,YES
449,CEBPD,no,no,no,no,no,YES
450,CYTOR,no,no,no,no,no,YES
451,MIR34AHG,no,no,no,no,no,YES
452,LOC124908056,no,no,no,no,no,YES
453,LINC00472,no,no,no,no,no,YES
454,PANTR1,no,no,no,no,no,YES
455,LNCTAM34A,no,no,no,no,no,YES
456,UNC5B-AS1,no,no,no,no,no,YES
457,SHISA9,no,no,no,no,no,YES
458,ETV5,no,no,no,no,no,YES
459,PTCHD4,no,no,no,no,no,YES
460,NEAT1,no,no,no,no,no,YES
461,PVT1,no,no,no,no,no,YES
462,TMEM158,no,no,no,no,no,YES
463,PURPL,no,no,no,no,no,YES
464,TUNAR,no,no,no,no,no,YES
465,MIR124-2HG,no,no,no,no,no,YES
466,PAFAH1B2P2,no,no,no,no,no,YES
467,LIF-AS2,no,no,no,no,no,YES
