"Gene","Percentage"
"SHH",25.2293577981651
"SLIT1",0
"NTRK2",5.04587155963303
"RPS6KA6",4.58715596330275
"CNTN6",4.12844036697248
"NKX2-1",100
"MYRF",3.21100917431193
"LINC00261",13.302752293578
"KLHL5",20.1834862385321
"FRZB",71.1009174311927
"CRISPLD1",24.7706422018349
"PODXL",25.2293577981651
"ACKR3",8.71559633027523
"PPP1R14C",4.58715596330275
"NKX2-1-AS1",17.4311926605505
"IGDCC3",71.5596330275229
"QKI",77.9816513761468
"PNRC2",11.4678899082569
"CAPN6",39.4495412844037
"FOXA2",41.2844036697248
"PRTG",93.1192660550459
"NKX2-2",16.5137614678899
"PDZRN3",6.88073394495413
"GRIK3",0.917431192660551
"RGMA",47.7064220183486
"DCX",11.9266055045872
"FGFR3",12.3853211009174
"PTCH1",78.4403669724771
"EIF5",85.7798165137615
"NKD1",5.5045871559633
"SFRP1",95.8715596330275
"AFF2",16.9724770642202
"HTR1D",1.37614678899083
"ANKRD65",7.3394495412844
"ZMIZ1",38.5321100917431
"NRBP2",8.71559633027523
"SSBP3",56.4220183486239
"SOWAHC",10.0917431192661
"SRSF6",50.9174311926605
"BMPR2",11.9266055045872
"NAALAD2",23.394495412844
"NES",81.651376146789
"IGF1R",44.954128440367
"ATP2C2",0
"RORA",13.7614678899083
"PLAGL1",34.8623853211009
"TMTC2",20.6422018348624
"MPPED1",15.5963302752294
"RRAGD",21.5596330275229
"RNASEH2B",45.8715596330275
"PNMA2",27.0642201834862
"CYYR1",43.5779816513761
"NID1",22.0183486238532
"RXRA",26.1467889908257
"ZNF594",9.1743119266055
"DLEU7",26.1467889908257
"LRP4",7.79816513761468
"RASGRF2",0.917431192660551
"FGF12",1.8348623853211
"SPTSSB",0.458715596330275
"APC",33.9449541284404
"EXTL2",60.5504587155963
"MTTP",4.58715596330275
"TLE2",6.42201834862385
"TET3",9.1743119266055
"GPM6B",65.5963302752293
"TEX15",10.0917431192661
"CCDC170",0
"NKX2-8",40.8256880733945
"CXCR4",70.6422018348624
"USP44",68.8073394495413
"RERG",0.458715596330275
"PLEKHO1",66.0550458715596
"FAM161A",58.2568807339449
"OPCML",0.458715596330275
"PGRMC1",91.743119266055
"LINC00205",5.04587155963303
"PAPLN",0
"RNF150",10.0917431192661
"NCAM1",26.1467889908257
"C2orf72",0.917431192660551
"GLI1",5.04587155963303
"FOXO1",7.3394495412844
"GRIA4",12.8440366972477
"CCDC30",9.63302752293578
"ABCA1",17.4311926605505
"GNPTG",12.8440366972477
"CIPC",9.63302752293578
"EXOC7",27.0642201834862
"EPHA3",0.917431192660551
"BMP1",11.4678899082569
"ALDH7A1",67.4311926605505
"ECHDC2",14.2201834862385
"NLGN3",12.8440366972477
"TSPAN13",39.4495412844037
"TMEM98",82.5688073394495
"BASP1",87.1559633027523
"RAB31",9.63302752293578
"C6orf118",0.917431192660551
"PGF",9.63302752293578
"DOCK1",28.4403669724771
"APOA1",8.25688073394496
"SOX5",47.2477064220183
"ANTXR1",15.5963302752294
"ASCL1",7.79816513761468
"TOX",1.37614678899083
"HADHB",50
"SCG3",13.302752293578
"C14orf132",13.302752293578
"CASC2",2.29357798165138
"OLFM1",8.71559633027523
"RTN4",87.6146788990826
"SLC38A7",9.63302752293578
"ACVR2B",62.8440366972477
"IDH1",73.8532110091743
"FREM1",7.79816513761468
"CELSR1",3.6697247706422
"UBL3",35.3211009174312
"NMD3",35.7798165137615
"TNRC6B",74.7706422018349
"FRMD3",3.21100917431193
"CELSR2",19.2660550458716
"SMARCC2",35.3211009174312
"SYNDIG1",0.458715596330275
"TGFBR1",49.5412844036697
"FOXB1",1.8348623853211
"NOVA1",51.8348623853211
"DIXDC1",41.743119266055
"STOM",30.7339449541284
"KIF9",16.9724770642202
"EMD",72.9357798165138
"CTDSP1",24.7706422018349
"DKK3",7.3394495412844
"KIAA0930",12.8440366972477
"SHANK2",4.58715596330275
"SFXN5",4.12844036697248
"ZNF362",16.9724770642202
"ZNF697",4.12844036697248
"PREX1",19.7247706422018
"SHB",5.04587155963303
"PHACTR3",5.5045871559633
"SALL1",39.9082568807339
"HEY1",9.63302752293578
"NPTX2",16.0550458715596
"IQCA1",7.79816513761468
"STK36",11.9266055045872
"DPYSL2",92.2018348623853
"DYNLL2",61.9266055045872
"CATSPERG",1.37614678899083
"ATP2B4",15.1376146788991
"SLC20A2",17.8899082568807
"HOPX",2.75229357798165
"DLEC1",1.8348623853211
"MMD",40.3669724770642
"GMFB",34.8623853211009
"ERCC6L2",34.4036697247706
"SSPN",4.58715596330275
"ELF4",5.5045871559633
"UPF3A",72.0183486238532
"ERMN",10.0917431192661
"CDH7",7.79816513761468
"EPHB6",6.88073394495413
"EPPK1",1.8348623853211
"CLDN23",2.29357798165138
"CDH6",23.394495412844
"ODF2L",45.4128440366972
"S1PR1",2.75229357798165
"TMOD2",9.63302752293578
"DCAF7",53.2110091743119
"PIK3C2B",21.1009174311927
"DHRS3",7.79816513761468
"ANGPTL2",6.42201834862385
"MPZ",6.42201834862385
"COL14A1",8.25688073394496
"FXYD7",1.8348623853211
"SMAD7",4.58715596330275
"KIT",11.0091743119266
"ST8SIA1",9.63302752293578
"EFHD1",12.3853211009174
"PATZ1",31.1926605504587
"ZMAT1",11.9266055045872
"EFHD2",10.0917431192661
"CPAMD8",9.63302752293578
"RAB11B-AS1",17.8899082568807
"ASAP3",6.88073394495413
"TEX2",9.63302752293578
"LIN28A",88.9908256880734
"ULK1",14.6788990825688
"SHANK1",0
"LRRN2",5.5045871559633
"AK3",28.8990825688073
"ULK3",11.0091743119266
"IKZF4",20.1834862385321
"PSD3",31.1926605504587
"CDC42EP3",14.6788990825688
"ZNF69",8.25688073394496
"TUBA1A",100
"RNASET2",30.2752293577982
"CMTM7",39.9082568807339
"AK5",11.9266055045872
"ULBP3",0.458715596330275
"TP53INP1",11.0091743119266
"MBTPS1",35.3211009174312
"ELAVL3",2.29357798165138
"SLC38A10",12.3853211009174
"GREB1",46.7889908256881
"FGF19",11.9266055045872
"ZNF117",22.4770642201835
"FBLN1",94.4954128440367
"STK38L",23.394495412844
"BCCIP",49.5412844036697
"LINC00237",3.21100917431193
"QSOX2",10.5504587155963
"WDR35",17.4311926605505
"C17orf58",33.4862385321101
"FAM228B",17.4311926605505
"DDAH1",17.4311926605505
"GPRIN2",1.8348623853211
"FZD9",2.29357798165138
"TLE3",33.9449541284404
"C11orf71",2.29357798165138
"NEK11",2.29357798165138
"USP3",45.8715596330275
"NTRK3",1.37614678899083
"EID2",46.7889908256881
"ERGIC1",38.5321100917431
"UNC119B",22.9357798165138
"E2F2",8.25688073394496
"KHDRBS3",35.7798165137615
"CNPY2",79.3577981651376
"PNMT",1.8348623853211
"SOX12",40.8256880733945
"NFASC",4.58715596330275
"P2RX3",1.37614678899083
"LYST",0.917431192660551
"COL23A1",2.29357798165138
"SMOC2",0.458715596330275
"MDH1B",5.04587155963303
"CMTM3",34.8623853211009
"SHF",34.8623853211009
"DUSP23",18.348623853211
"LCMT2",4.58715596330275
"ZNF358",39.4495412844037
"STAU2",41.743119266055
"GLP1R",1.8348623853211
"ATG14",14.2201834862385
"LRRC27",8.71559633027523
"SNX25",11.4678899082569
"CHRNA3",0.917431192660551
"HSDL1",43.5779816513761
"VTA1",35.7798165137615
"TMEM154",2.29357798165138
"TM7SF2",54.1284403669725
"TEKT2",5.96330275229358
"CCNL2",49.5412844036697
"CUX1",44.954128440367
"VANGL2",26.605504587156
"G6PD",27.5229357798165
"APPL2",19.7247706422018
"PNRC1",66.0550458715596
"NEUROG3",0.458715596330275
"UCKL1",22.9357798165138
"MEX3B",8.71559633027523
"SOHLH2",12.8440366972477
"NCOA3",28.4403669724771
"SNX1",23.8532110091743
"NAA40",22.4770642201835
"METTL9",85.7798165137615
"MFSD6",2.29357798165138
"FBXL16",0.458715596330275
"C1R",1.8348623853211
"USP21",8.25688073394496
"UBXN10",1.8348623853211
"ADCYAP1R1",1.8348623853211
"METTL25",14.2201834862385
"RPS6",100
"VIPAS39",12.8440366972477
"ERCC6",2.75229357798165
"POLR2I",85.3211009174312
"IQCD",2.75229357798165
"FBRSL1",30.2752293577982
"STK33",32.5688073394495
"DLL3",7.3394495412844
"PPP1R16A",14.6788990825688
"RIN2",1.37614678899083
"IFT88",23.394495412844
"COPS8",55.5045871559633
"LYPD6",5.04587155963303
"GALNS",10.0917431192661
"ARHGEF6",0.917431192660551
"AIF1L",60.091743119266
"ITPR1",3.21100917431193
"SYS1",30.2752293577982
"AGA",12.3853211009174
"BMPER",2.29357798165138
"ZNF540",1.8348623853211
"MRPL40",66.0550458715596
"RIN3",0.917431192660551
"RAMP2",16.9724770642202
"SYBU",0.458715596330275
"SHD",0
"GABRQ",0
"PSMA7",99.5412844036697
"FGD3",4.12844036697248
"USB1",33.0275229357798
"NDRG2",15.1376146788991
"GRM4",0.458715596330275
"B4GALNT1",2.29357798165138
"ZNF709",5.5045871559633
"THADA",17.8899082568807
"ZC3H12C",14.6788990825688
"FGFRL1",19.7247706422018
"HPGD",0
"ACSF2",5.96330275229358
"TOX2",5.5045871559633
"TRAF3IP1",22.4770642201835
"MRC2",28.8990825688073
"DGCR5",3.21100917431193
"IGLON5",14.2201834862385
"ZSCAN5A",5.04587155963303
"ST7-AS1",1.8348623853211
"DPY19L2",4.58715596330275
"GFRA2",3.21100917431193
"PCMTD2",32.5688073394495
"EML6",0.917431192660551
"RMI1",46.7889908256881
"FHAD1",4.12844036697248
"HS6ST1",9.63302752293578
"ZNF780B",12.3853211009174
"NCAN",4.58715596330275
"GALNT18",2.75229357798165
"NKX6-2",16.0550458715596
"SUSD1",0.458715596330275
"PLEKHH1",10.0917431192661
"CHD9",83.0275229357798
"LASP1",21.5596330275229
"TSEN2",17.8899082568807
"PHF2",7.79816513761468
"ANKRD11",74.3119266055046
"RYBP",42.2018348623853
"TNFSF12",2.29357798165138
"CAMK2B",0.917431192660551
"STAMBPL1",5.5045871559633
"FMO5",0
"RNF144B",0.458715596330275
"PKD2L2",0
"ZMYND10",1.37614678899083
"CPEB3",2.75229357798165
"DAW1",0
"ABCG1",1.8348623853211
"SORCS3",1.8348623853211
"GALNT9",4.58715596330275
"NHEJ1",1.8348623853211
"MXRA8",33.0275229357798
"SSB",96.3302752293578
"CASZ1",9.1743119266055
"SNX33",6.42201834862385
"MIAT",53.2110091743119
"ALG14",5.5045871559633
"DNAAF1",0.917431192660551
"TAOK3",5.04587155963303
"HTATIP2",20.1834862385321
"LRRC10B",0.917431192660551
"NICN1",5.96330275229358
"TYMP",5.96330275229358
"WDR73",35.3211009174312
"LRRC46",3.21100917431193
"LYPLA2",45.4128440366972
"CTSF",30.2752293577982
"GFRA3",0.917431192660551
"MYO1D",2.29357798165138
"VEPH1",7.3394495412844
"DNAJC27-AS1",0.917431192660551
"IGFBP7",2.29357798165138
"CDH10",0.458715596330275
"ZNF493",18.348623853211
"GATA5",0
"PTCH2",5.5045871559633
"ZNF425",4.12844036697248
"ITIH5",0.458715596330275
"UROD",43.1192660550459
"SLC37A4",28.8990825688073
"B4GALNT4",15.1376146788991
"ZFPM2",3.21100917431193
"TMEM175",4.12844036697248
"ABHD3",12.3853211009174
"SNRNP35",35.3211009174312
"COL27A1",11.4678899082569
"STOX2",17.4311926605505
"TPH1",2.29357798165138
"EDARADD",1.37614678899083
"ABCD1",1.37614678899083
"RNF144A",16.9724770642202
"ZNF446",9.1743119266055
"ARHGAP19-SLIT1",0
"MBD6",16.0550458715596
"RAD50",68.348623853211
"GCGR",0.458715596330275
"VMAC",5.96330275229358
"PTPN6",3.6697247706422
"CRISPLD2",0.917431192660551
"OLFML3",4.12844036697248
"CCDC102B",6.88073394495413
"TSPAN6",78.8990825688073
"ITM2C",66.5137614678899
"RAB20",6.42201834862385
"ALDH1B1",18.348623853211
"GPSM1",19.7247706422018
"FTX",14.6788990825688
"KCNJ8",2.29357798165138
"PCSK6",1.37614678899083
"FANCE",12.8440366972477
"CRB1",0.917431192660551
"FANK1",7.79816513761468
"ARMC2",3.21100917431193
"AP5S1",4.58715596330275
"PTBP2",55.9633027522936
"HDC",0.917431192660551
"ABCC4",18.8073394495413
"SLFN13",2.29357798165138
"ENOSF1",17.8899082568807
"LINC01122",4.58715596330275
"GAL3ST4",0.458715596330275
"TCTA",4.12844036697248
"ZNF135",7.79816513761468
"MCM6",51.8348623853211
"ZNF789",11.9266055045872
"SLC26A2",11.4678899082569
"PHF10",25.2293577981651
"LINC00667",21.5596330275229
"C7orf25",0.917431192660551
"MANEAL",1.37614678899083
"CRYL1",1.8348623853211
"C21orf58",44.0366972477064
"ZNF718",5.96330275229358
"TXNL1",83.4862385321101
"SCRT2",0.917431192660551
"KCNQ2",56.8807339449541
"LINC00638",0.917431192660551
"FOXN4",0.458715596330275
"POP5",51.3761467889908
"ZSCAN2",7.79816513761468
"OGT",35.3211009174312
"DYRK2",27.5229357798165
"ALPK3",8.25688073394496
"LINC00648",1.37614678899083
"FZD10",0.458715596330275
"WDR19",23.394495412844
"TNS1",2.75229357798165
"WNT4",4.58715596330275
"CNTN1",1.37614678899083
"VPS41",27.5229357798165
"ZNF772",4.12844036697248
"LOXL1",14.6788990825688
"OXCT1",32.5688073394495
"CYB561D1",0.917431192660551
"AHSP",6.42201834862385
"RAC3",47.2477064220183
"PC",7.3394495412844
"GABRG2",0.917431192660551
"KCNN2",6.42201834862385
"ACAD8",24.3119266055046
"RBM3",92.2018348623853
"THNSL1",17.8899082568807
"PCTP",15.5963302752294
"PIN1",78.4403669724771
"PUS7",22.0183486238532
"TIAM2",16.0550458715596
"ATG9B",4.58715596330275
"CCDC142",3.6697247706422
"MPRIP",22.9357798165138
"ZBTB1",16.9724770642202
"GDI2",87.6146788990826
"TMEM255B",1.37614678899083
"RPP40",23.8532110091743
"CPE",90.8256880733945
"CAPS2",0
"SLC26A1",0.917431192660551
"FOXD1",57.7981651376147
"ZNF449",7.79816513761468
"KBTBD7",26.605504587156
"SLC39A1",65.5963302752293
"MACROD2",7.3394495412844
"TAF6",33.4862385321101
"WWC2-AS2",1.37614678899083
"PIGM",15.5963302752294
"FBXO46",11.0091743119266
"TGFB3",0.458715596330275
"SCNM1",30.7339449541284
"LRRC3",1.37614678899083
"CDH15",0
"ACADS",8.25688073394496
"RANBP3",25.2293577981651
"FLCN",5.04587155963303
"JMJD4",11.9266055045872
"REPS2",0
"DPCD",72.0183486238532
"SLC38A6",8.25688073394496
"TIGD6",4.12844036697248
"SOX7",2.29357798165138
"GRIK4",0
"SLC7A2",7.79816513761468
"CHRD",3.21100917431193
"VPS26B",14.2201834862385
"APEX1",95.8715596330275
"NMNAT2",0.458715596330275
"SLC45A1",2.29357798165138
"RAB34",76.1467889908257
"LINC00511",3.6697247706422
"SDCBP2-AS1",2.75229357798165
"ATG4D",16.9724770642202
"SLC16A1-AS1",5.5045871559633
"LIPT2",4.58715596330275
"SYNPO2",0
"EPHB1",16.9724770642202
